Day,Month,Year,PM2.5
6,11,2014,82
7,11,2014,98
8,11,2014,163
9,11,2014,88
10,11,2014,71
11,11,2014,78
12,11,2014,77
13,11,2014,78
14,11,2014,95
15,11,2014,113
16,11,2014,110
17,11,2014,136
18,11,2014,92
19,11,2014,69
20,11,2014,67
21,11,2014,68
22,11,2014,93
23,11,2014,113
24,11,2014,140
25,11,2014,153
26,11,2014,132
27,11,2014,121
28,11,2014,118
29,11,2014,120
30,11,2014,132
1,12,2014,127
2,12,2014,118
3,12,2014,112
4,12,2014,111
5,12,2014,106
6,12,2014,113
7,12,2014,141
8,12,2014,134
9,12,2014,93
10,12,2014,63
11,12,2014,59
12,12,2014,71
13,12,2014,74
14,12,2014,80
15,12,2014,75
16,12,2014,72
17,12,2014,79
18,12,2014,92
19,12,2014,146
20,12,2014,139
21,12,2014,112
22,12,2014,123
23,12,2014,124
24,12,2014,116
25,12,2014,132
26,12,2014,146
27,12,2014,146
28,12,2014,148
29,12,2014,138
30,12,2014,140
31,12,2014,121
1,1,2015,313.22
2,1,2015,186.18
3,1,2015,87.18
4,1,2015,151.84
5,1,2015,146.6
6,1,2015,149.58
7,1,2015,217.87
8,1,2015,229.9
9,1,2015,201.66
10,1,2015,221.02
11,1,2015,205.41
12,1,2015,212.41
13,1,2015,197.61
14,1,2015,164.39
15,1,2015,166.19
16,1,2015,174.98
17,1,2015,196.46
18,1,2015,201.51
19,1,2015,183.35
20,1,2015,165.63
21,1,2015,159.54
22,1,2015,143.68
23,1,2015,128.73
24,1,2015,164.98
25,1,2015,148.59
26,1,2015,129.34
27,1,2015,154.2
28,1,2015,134.6
29,1,2015,173.13
30,1,2015,178.04
31,1,2015,158.59
1,2,2015,211.59
2,2,2015,163.64
3,2,2015,157.71
4,2,2015,137.26
5,2,2015,131.76
6,2,2015,151.6
7,2,2015,160.75
8,2,2015,145.34
9,2,2015,134.67
10,2,2015,153.07
11,2,2015,116.91
12,2,2015,177.98
13,2,2015,167.01
14,2,2015,193.96
15,2,2015,184.06
16,2,2015,152.62
17,2,2015,161.27
18,2,2015,188.2
19,2,2015,159.97
20,2,2015,144.12
21,2,2015,155.38
22,2,2015,124.1
23,2,2015,141.39
24,2,2015,170.16
25,2,2015,148.19
26,2,2015,140.78
27,2,2015,130.42
28,2,2015,105.86
1,3,2015,71.83
2,3,2015,53.71
3,3,2015,83.49
4,3,2015,91.07
5,3,2015,106.57
6,3,2015,101.75
7,3,2015,77.57
8,3,2015,63.24
9,3,2015,76.62
10,3,2015,86.7
11,3,2015,104.29
12,3,2015,115.93
13,3,2015,108.66
14,3,2015,67.94
15,3,2015,38.89
16,3,2015,45.39
17,3,2015,55.55
18,3,2015,50.59
19,3,2015,69.51
20,3,2015,96.62
21,3,2015,96.28
22,3,2015,72.2
23,3,2015,78.47
24,3,2015,91.87
25,3,2015,107.26
26,3,2015,109.78
27,3,2015,62.27
28,3,2015,102.22
29,3,2015,104.36
30,3,2015,44.19
31,3,2015,55.66
1,4,2015,112.86
2,4,2015,78.51
3,4,2015,66.52
4,4,2015,62.56
5,4,2015,78.61
6,4,2015,119.7
7,4,2015,66.09
8,4,2015,95.34
9,4,2015,63.57
10,4,2015,96.56
11,4,2015,131.39
12,4,2015,75.35
13,4,2015,86.49
14,4,2015,77.07
15,4,2015,98.79
16,4,2015,81.81
17,4,2015,65.78
18,4,2015,119.82
19,4,2015,125.53
20,4,2015,121.51
21,4,2015,114.5
22,4,2015,101.83
23,4,2015,118.57
24,4,2015,143.22
25,4,2015,106.76
26,4,2015,65.36
27,4,2015,67.08
28,4,2015,81.37
29,4,2015,63.76
30,4,2015,60.56
1,5,2015,76.1
2,5,2015,72.66
3,5,2015,121.94
4,5,2015,108.98
5,5,2015,145.99
6,5,2015,171.33
7,5,2015,117.76
8,5,2015,90.66
9,5,2015,106.4
10,5,2015,101.21
11,5,2015,97.57
12,5,2015,96.34
13,5,2015,83.42
14,5,2015,78.06
15,5,2015,97.87
16,5,2015,77.52
17,5,2015,97.16
18,5,2015,66.85
19,5,2015,89.85
20,5,2015,67.41
21,5,2015,75.54
22,5,2015,67.91
23,5,2015,69.02
24,5,2015,79.1
25,5,2015,117.27
