Unnamed: 0,T,TM,Tm,SLP,H,PP,VV,V,VM,PM2.5,Date
3193,23.1,31.4,14.9,1012,70,0,1.6,2.4,7,120,2022-10-26
1886,21.8,28.6,12.0,1012,60,0,2.6,4.3,11,100,2019-03-18
3251,12.5,20.6,5.3,1014,80,0,0.6,0.7,5,140,2022-12-23
1349,31.2,36.0,25.2,1003,60,0,3.4,9.8,18,60,2017-09-18
1007,30.3,35.0,24.7,1007,62,0,2.3,7.6,18,114,2016-10-07
674,21.9,30.2,16.1,1014,79,0,0.5,1.1,7,353,2015-11-07
2022,31.5,37.9,28.4,997,73,1,3.4,15.4,27,14,2019-08-09
855,35.1,39.2,25.3,1005,40,0,2.4,7.2,11,90,2016-05-08
447,26.8,35.1,18.5,1011,68,0,2.3,2.6,11,107,2015-03-25
2387,33.9,37.4,28.1,997,69,0,3.2,5.0,9,45,2020-08-08
1995,35.6,40.0,31.2,996,53,0,2.6,13.7,27,63,2019-07-13
2710,37.8,43.0,28.2,994,36,0,3.1,15.4,22,54,2021-06-30
2457,26.7,35.0,16.8,1008,54,0,2.7,1.3,9,117,2020-10-17
2902,15.7,20.3,14.4,1015,99,40,1.0,9.4,14,97,2022-01-08
2590,23.6,29.0,15.3,1013,55,0,3.5,12.8,25,61,2021-03-02
2893,11.0,21.2,3.4,1024,70,0,1.0,1.5,7,156,2021-12-30
2898,15.7,22.8,8.5,1017,71,0,0.6,2.2,7,69,2022-01-04
2702,34.4,39.6,25.4,999,50,0,3.1,5.2,11,44,2021-06-22
1247,30.3,37.2,25.0,1002,62,-1,3.5,8.9,18,41,2017-06-08
294,25.7,34.3,18.0,1014,67,0,1.1,0.4,3,95,2014-10-22
1547,30.4,39.0,23.2,1003,46,0,2.1,3.9,7,152,2018-04-05
588,31.9,35.8,28.0,1001,75,0,1.9,0.4,3,61,2015-08-13
1281,29.7,38.5,26.0,1001,78,0,3.1,6.7,11,22,2017-07-12
1710,30.6,34.6,25.5,1007,60,0,4.0,8.1,13,37,2018-09-15
2107,24.5,31.7,18.8,1013,70,0,0.6,5.0,14,320,2019-11-02
2512,18.2,28.3,11.3,1014,81,0,1.3,1.5,7,143,2020-12-11
2367,29.6,36.4,23.4,998,85,70,1.8,7.0,13,22,2020-07-19
2309,34.4,43.4,23.7,999,33,0,3.1,4.8,11,94,2020-05-22
2451,28.7,36.0,19.8,1005,55,0,3.4,7.2,14,88,2020-10-11
1417,16.9,26.5,8.6,1016,57,0,1.9,3.5,9,185,2017-11-25
425,16.1,22.1,12.8,1013,84,7,1.8,5.6,13,83,2015-03-03
534,33.0,42.3,27.2,997,56,0,1.9,13.0,25,80,2015-06-20
1054,20.7,28.9,10.5,1015,52,0,1.6,7.4,18,216,2016-11-24
2462,25.9,35.2,17.2,1007,55,0,1.8,0.9,5,138,2020-10-22
2718,34.7,42.6,26.8,997,49,-1,2.7,10.2,16,43,2021-07-08
3027,33.8,42.5,25.2,995,54,0,2.6,5.7,9,130,2022-05-13
132,25.2,30.6,18.0,1008,71,9,2.6,10.0,20,169,2014-05-13
6,12.2,19.7,6.1,1018,74,0,1.0,3.9,-1,350,2014-01-07
3209,21.4,29.5,14.6,1016,65,0,1.4,4.4,18,157,2022-11-11
421,19.2,27.6,11.1,1013,49,0,2.6,5.7,11,130,2015-02-27
1690,31.0,34.2,27.0,998,73,0,3.2,7.8,24,23,2018-08-26
2885,12.8,23.4,4.4,1014,70,0,1.0,1.1,9,268,2021-12-22
2216,19.1,26.9,8.1,1013,70,0,1.9,8.9,18,138,2020-02-19
2273,30.1,40.1,21.9,1005,39,0,2.7,6.5,11,69,2020-04-16
1368,29.6,36.0,21.6,1007,54,0,2.9,6.1,18,70,2017-10-07
556,25.5,26.6,23.0,998,96,69,1.8,7.4,18,32,2015-07-12
2221,19.4,26.8,11.8,1014,77,0,1.9,3.1,7,70,2020-02-24
1779,19.6,26.4,10.8,-1,60,0,2.6,5.4,14,147,2018-12-01
3102,30.2,34.6,26.7,1003,79,0,1.9,5.9,7,39,2022-07-27
2906,11.9,18.3,8.2,1017,81,0,0.5,3.9,11,151,2022-01-12
2682,30.9,36.6,23.0,1003,50,0,1.9,7.2,11,48,2021-06-02
570,30.0,36.6,27.0,998,76,6,2.6,16.9,25,29,2015-07-26
352,11.7,17.6,7.4,1022,85,0,0.3,0.4,3,146,2014-12-19
91,26.8,35.2,17.7,1005,50,0,1.9,7.2,14,263,2014-04-02
2308,33.2,41.4,24.8,998,31,0,4.0,7.4,14,55,2020-05-21
2751,32.0,36.0,25.0,1000,69,0,2.9,8.1,16,35,2021-08-10
1170,26.6,34.0,16.2,1011,47,0,2.9,10.9,22,128,2017-03-21
1783,18.3,26.0,8.4,1015,68,0,1.6,0.6,7,181,2018-12-05
1285,32.4,36.4,28.5,999,72,0,2.9,6.3,13,38,2017-07-16
2034,32.0,36.0,24.8,1002,69,0,2.9,8.1,18,46,2019-08-21
1756,24.6,32.0,16.0,1012,63,0,1.6,4.1,7,205,2018-11-02
1732,27.8,35.3,22.4,1007,66,0,1.9,3.7,9,103,2018-10-09
1591,33.1,41.2,26.4,1001,40,0,1.9,4.4,14,103,2018-05-19
2895,11.4,20.0,4.2,1022,78,0,0.8,2.8,7,82,2022-01-01
697,19.7,28.0,14.0,1016,84,0,0.5,0.9,7,282,2015-11-30
2720,34.6,39.2,28.6,998,59,0,2.6,8.0,13,29,2021-07-10
348,14.2,20.0,10.4,1019,82,12,1.6,1.9,9,75,2014-12-15
2025,31.1,36.2,28.0,998,78,0,2.6,6.7,11,20,2019-08-12
2548,11.5,20.8,6.6,1013,85,0,0.3,4.3,9,291,2021-01-16
2639,28.3,37.8,19.5,1005,44,0,2.7,11.1,22,62,2021-04-20
2358,34.0,38.2,26.5,995,67,0,2.7,12.6,18,23,2020-07-10
1137,19.9,27.4,13.0,1017,61,0,1.8,10.4,16,163,2017-02-16
2087,27.8,33.2,20.8,1012,61,0,2.3,3.3,9,132,2019-10-13
1737,24.2,31.8,17.3,1011,58,0,2.6,5.4,14,91,2018-10-14
3077,30.7,34.4,26.2,996,76,2,2.1,6.7,14,48,2022-07-02
3061,34.1,42.2,23.8,997,50,2,3.1,9.6,18,109,2022-06-16
1711,29.6,34.6,25.5,1005,68,0,2.7,5.0,14,43,2018-09-16
1339,31.2,35.0,26.5,1005,67,0,2.7,5.7,13,51,2017-09-08
2815,26.6,36.7,20.6,1006,57,0,2.3,2.8,7,67,2021-10-13
453,25.1,30.8,19.0,1010,70,0,2.1,3.7,11,55,2015-03-31
913,33.2,36.2,27.9,994,70,0,2.3,5.4,13,68,2016-07-05
2570,16.5,23.0,8.3,1018,74,0,1.6,7.4,20,137,2021-02-07
1199,34.9,43.2,28.9,999,45,0,2.7,9.1,21,130,2017-04-21
1274,32.9,36.5,29.2,997,66,0,3.5,10.9,20,50,2017-07-05
2126,19.3,28.9,12.5,1016,72,0,1.3,0.7,5,217,2019-11-21
37,19.7,26.4,15.1,1009,72,0,1.6,15.0,29,248,2014-02-07
974,30.9,34.4,25.5,1003,65,0,3.4,11.9,20,57,2016-09-04
3008,31.7,39.5,22.2,1004,30,0,1.9,10.2,18,138,2022-04-24
983,31.4,36.0,26.7,1006,65,0,3.1,8.3,13,57,2016-09-13
1249,33.9,39.0,26.0,1000,47,0,3.4,6.5,37,64,2017-06-10
2329,34.8,41.5,27.4,998,61,0,3.5,4.3,9,54,2020-06-11
1418,16.9,27.5,8.6,1016,63,0,1.6,1.1,9,224,2017-11-26
1284,31.6,36.4,28.4,1000,76,-1,3.2,6.1,14,32,2017-07-15
1967,37.9,43.7,27.8,997,28,0,2.9,14.4,37,81,2019-06-15
39,12.7,19.5,7.0,1012,66,0,1.4,9.3,25,280,2014-02-09
1486,16.0,26.5,9.3,1015,57,0,1.4,4.4,13,115,2018-02-03
